,Sno,Values
0,1,https://trends.google.com/trends/explore?date=2023-12-01T00%202023-12-01T04&geo=IN&q=amazon&hl=en
1,2,https://trends.google.com/trends/explore?date=2023-12-01T03%202023-12-01T07&geo=IN&q=amazon&hl=en
2,3,https://trends.google.com/trends/explore?date=2023-12-01T06%202023-12-01T10&geo=IN&q=amazon&hl=en
3,4,https://trends.google.com/trends/explore?date=2023-12-01T09%202023-12-01T13&geo=IN&q=amazon&hl=en
4,5,https://trends.google.com/trends/explore?date=2023-12-01T12%202023-12-01T16&geo=IN&q=amazon&hl=en
5,6,https://trends.google.com/trends/explore?date=2023-12-01T15%202023-12-01T19&geo=IN&q=amazon&hl=en
6,7,https://trends.google.com/trends/explore?date=2023-12-01T18%202023-12-01T22&geo=IN&q=amazon&hl=en
7,8,https://trends.google.com/trends/explore?date=2023-12-01T21%202023-12-02T01&geo=IN&q=amazon&hl=en
8,9,https://trends.google.com/trends/explore?date=2023-12-02T00%202023-12-02T04&geo=IN&q=amazon&hl=en
9,10,https://trends.google.com/trends/explore?date=2023-12-02T03%202023-12-02T07&geo=IN&q=amazon&hl=en
10,11,https://trends.google.com/trends/explore?date=2023-12-02T06%202023-12-02T10&geo=IN&q=amazon&hl=en
11,12,https://trends.google.com/trends/explore?date=2023-12-02T09%202023-12-02T13&geo=IN&q=amazon&hl=en
12,13,https://trends.google.com/trends/explore?date=2023-12-02T12%202023-12-02T16&geo=IN&q=amazon&hl=en
13,14,https://trends.google.com/trends/explore?date=2023-12-02T15%202023-12-02T19&geo=IN&q=amazon&hl=en
14,15,https://trends.google.com/trends/explore?date=2023-12-02T18%202023-12-02T22&geo=IN&q=amazon&hl=en
15,16,https://trends.google.com/trends/explore?date=2023-12-02T21%202023-12-03T01&geo=IN&q=amazon&hl=en
16,17,https://trends.google.com/trends/explore?date=2023-12-03T00%202023-12-03T04&geo=IN&q=amazon&hl=en
17,18,https://trends.google.com/trends/explore?date=2023-12-03T03%202023-12-03T07&geo=IN&q=amazon&hl=en
18,19,https://trends.google.com/trends/explore?date=2023-12-03T06%202023-12-03T10&geo=IN&q=amazon&hl=en
19,20,https://trends.google.com/trends/explore?date=2023-12-03T09%202023-12-03T13&geo=IN&q=amazon&hl=en
20,21,https://trends.google.com/trends/explore?date=2023-12-03T12%202023-12-03T16&geo=IN&q=amazon&hl=en
21,22,https://trends.google.com/trends/explore?date=2023-12-03T15%202023-12-03T19&geo=IN&q=amazon&hl=en
22,23,https://trends.google.com/trends/explore?date=2023-12-03T18%202023-12-03T22&geo=IN&q=amazon&hl=en
23,24,https://trends.google.com/trends/explore?date=2023-12-03T21%202023-12-04T01&geo=IN&q=amazon&hl=en
24,25,https://trends.google.com/trends/explore?date=2023-12-04T00%202023-12-04T04&geo=IN&q=amazon&hl=en
25,26,https://trends.google.com/trends/explore?date=2023-12-04T03%202023-12-04T07&geo=IN&q=amazon&hl=en
26,27,https://trends.google.com/trends/explore?date=2023-12-04T06%202023-12-04T10&geo=IN&q=amazon&hl=en
27,28,https://trends.google.com/trends/explore?date=2023-12-04T09%202023-12-04T13&geo=IN&q=amazon&hl=en
28,29,https://trends.google.com/trends/explore?date=2023-12-04T12%202023-12-04T16&geo=IN&q=amazon&hl=en
29,30,https://trends.google.com/trends/explore?date=2023-12-04T15%202023-12-04T19&geo=IN&q=amazon&hl=en
30,31,https://trends.google.com/trends/explore?date=2023-12-04T18%202023-12-04T22&geo=IN&q=amazon&hl=en
